,video_id,video_title,video_date,view_count,like_count,comment_count,favorite_count
0,VryD5IaivTc,For portfolio,2021-05-04,4,0,0,0
1,GMZGTh-k0gc,App portfolio 2,2021-04-20,85,2,0,2
2,WwOb7BPhK3U,App portfolio 1,2021-04-20,7,1,0,1
3,OlXb396Ips8,Flutter application,2021-02-13,9,0,0,0
4,8pdgSrQasdU,Portfolio Advanced || After effetcs,2020-07-11,21,2,2,2
5,cdahoN7vX50,Advert 2 min Size,2020-07-04,20,0,0,0
6,GuWb9XkpJRU,portfolio mascot,2020-06-27,2,0,0,0
7,sOa0AUrHXVE,portfolio 2,2020-06-27,5,0,0,0
8,YGpWs-rL034,For Portfolio 1,2020-06-27,59,0,0,0
9,8EKaHeDhH-s,Billie Eilish   everything i wanted-My Questions ?,2020-01-24,14,0,0,0
10,jAqDy8C3qJ4,Number of Billionaires in this world || Forbes 2019,2019-12-04,10,2,0,2
11,ih7eeHWEe-M,SkyLounge Faisalabad -Standard Food Review,2019-11-29,86,4,0,4
12,V_0wiFXrnKA,Quran recitation in Different accents || 2019,2019-11-12,350,16,4,16
13,Dva6YYQkbgc,Intro Video Animation || 2019,2019-11-07,58,2,0,2
14,I886IiQCiUo,Product Advertisement,2019-08-25,129,8,1,8
15,3x_WDkpTffc,MAKE ATTRACTIVE RESUME  VIDEO || 2019,2019-08-23,40,9,2,9
